LANGUAGE,Japanese
MOD_DESCRIPTION,最適化された照明操作と適応性の高いトーン調整が可能
MOD_NAME,Lumina
HOTKEY,ホットキーの設定
CLOSE_TEXT,閉じる
EXPOSURECONTROL_TEXT,露出制御
LUMINOSITY_TEXT,輝度
GAMMA_TEXT,ガンマ
RADIANCE_TEXT,輝き
LIGHTING_TEXT,明るさ
HUE_TEXT,色相
TINT_TEXT,色合い
STYLES_MOD_NAME,スタイル
COLOR_CORRECTION_MOD_NAME,カラーコレクション
VISUALISM_MOD_NAME,視覚制御
SUNTEMP_TEXT,太陽の温度
SUNTINT_TEXT,太陽の色合い
SKYTEMP_TEXT,上空の温度
SKYTINT_TEXT,上空の色合い
MOONTEMP_TEXT,月の温度
MOONTINT_TEXT,月の色合い
MOONLIGHT_TEXT,月の明るさ
TWILIGHTTINT_TEXT,夕方の色合い
ENABLE_SKYTONE_TEXT,上空のトーンマッピングを有効化
DISABLE_SHADOWSMOOTH_TEXT,影のスムージングを無効化
FORCELOWBIAS_TEXT,影のオフセットを最小限で強制
RESET_TEXT,全てリセット
LOAD_TEXT,ロード
DELETE_TEXT,削除
WORKSHOP_TEXT,ワークショップ
NOstyle_TEXT,Luminaのスタイルがありません！
RELOADstyle_TEXT,スタイルのリストをリロード
OPENLOCALFOLDER_TEXT,スタイルのローカルフォルダを開く
LAUNCHLUT_TEXT,LUTエディタを起動
SHADOWINT_TEXT,影の強度
SHADOWBIAS_TEXT,影のバイアス
CLASSICFOG_TEXT,クラシックな霧
FOGINTENSITY_TEXT,霧の強度
LIGHTCOMP_TEXT,MODが重複しているため機能が無効化されています。
MOD_CAUSE_TEXT,Render It/Daylight Classic/Relightを検出しました！
SAVE_TEXT,セーブ
STYLENAME_TEXT,スタイルの名前
VISUALISMCOMP_TEXT,影と霧の設定が無効化されています。
VISUALISM_CAUSE_TEXT,Render It/Daylight Classic/Fog Controllerを検出しました！
EDGEFOG_TEXT,エッジフォグ
FOGSETTINGS_TEXT,霧調整 (きりちょうせい, Kiri chōsei)
